ID,Ours,PDDL
0,to pass banana 19 to experimenter_hand 17 \n,(:goal (and (passed banana 19 experimenter_hand 17)))) \n
1,to pass banana 10 to experimenter_hand 4 \n,(:goal (and (passed banana 10 experimenter_hand 4)))) \n
2,to pass banana 9 to experimenter_hand 27 \n,(:goal (and (passed banana 9 experimenter_hand 27)))) \n
3,to pass banana 5 to experimenter_hand 25 \n,(:goal (and (passed banana 5 experimenter_hand 25)))) \n
4,to pass banana 25 to experimenter_hand 19 \n,(:goal (and (passed banana 25 experimenter_hand 19)))) \n
5,to pass banana 31 to experimenter_hand 1 \n,(:goal (and (passed banana 31 experimenter_hand 1)))) \n
6,to pass banana 13 to experimenter_hand 3 \n,(:goal (and (passed banana 13 experimenter_hand 3)))) \n
7,to pass banana 30 to experimenter_hand 5 \n,(:goal (and (passed banana 30 experimenter_hand 5)))) \n
8,to pass banana 15 to experimenter_hand 10 \n,(:goal (and (passed banana 15 experimenter_hand 10)))) \n
9,to pass banana 10 to experimenter_hand 17 \n,(:goal (and (passed banana 10 experimenter_hand 17)))) \n
10,to pass bowl 24 to experimenter_hand 32 \n,(:goal (and (passed bowl 24 experimenter_hand 32)))) \n
11,to pass bowl 13 to experimenter_hand 14 \n,(:goal (and (passed bowl 13 experimenter_hand 14)))) \n
12,to pass bowl 17 to experimenter_hand 6 \n,(:goal (and (passed bowl 17 experimenter_hand 6)))) \n
13,to pass bowl 18 to experimenter_hand 4 \n,(:goal (and (passed bowl 18 experimenter_hand 4)))) \n
14,to pass bowl 25 to experimenter_hand 5 \n,(:goal (and (passed bowl 25 experimenter_hand 5)))) \n
15,to pass bowl 11 to experimenter_hand 4 \n,(:goal (and (passed bowl 11 experimenter_hand 4)))) \n
16,to pass bowl 26 to experimenter_hand 30 \n,(:goal (and (passed bowl 26 experimenter_hand 30)))) \n
17,to pass bowl 3 to experimenter_hand 19 \n,(:goal (and (passed bowl 3 experimenter_hand 19)))) \n
18,to pass bowl 10 to experimenter_hand 3 \n,(:goal (and (passed bowl 10 experimenter_hand 3)))) \n
