ID,Ours,PDDL
0,to pass banana 1 to experimenter_hand 2 \n,(:goal (and (passed banana 1 experimenter_hand 2)))) \n
1,to pass banana 1 to experimenter_hand 3 \n,(:goal (and (passed banana 1 experimenter_hand 3)))) \n
2,to pass banana 1 to experimenter_hand 5 \n,(:goal (and (passed banana 1 experimenter_hand 5)))) \n
3,to pass banana 1 to experimenter_hand 6 \n,(:goal (and (passed banana 1 experimenter_hand 6)))) \n
4,to pass banana 1 to experimenter_hand 7 \n,(:goal (and (passed banana 1 experimenter_hand 7)))) \n
5,to pass banana 1 to experimenter_hand 8 \n,(:goal (and (passed banana 1 experimenter_hand 8)))) \n
6,to pass banana 1 to experimenter_hand 9 \n,(:goal (and (passed banana 1 experimenter_hand 9)))) \n
7,to pass banana 1 to experimenter_hand 10 \n,(:goal (and (passed banana 1 experimenter_hand 10)))) \n
8,to pass banana 1 to experimenter_hand 11 \n,(:goal (and (passed banana 1 experimenter_hand 11)))) \n
9,to pass banana 1 to experimenter_hand 12 \n,(:goal (and (passed banana 1 experimenter_hand 12)))) \n
10,to pass banana 1 to experimenter_hand 13 \n,(:goal (and (passed banana 1 experimenter_hand 13)))) \n
11,to pass banana 1 to experimenter_hand 14 \n,(:goal (and (passed banana 1 experimenter_hand 14)))) \n
12,to pass banana 1 to experimenter_hand 16 \n,(:goal (and (passed banana 1 experimenter_hand 16)))) \n
13,to pass banana 1 to experimenter_hand 17 \n,(:goal (and (passed banana 1 experimenter_hand 17)))) \n
14,to pass banana 1 to experimenter_hand 18 \n,(:goal (and (passed banana 1 experimenter_hand 18)))) \n
15,to pass banana 1 to experimenter_hand 19 \n,(:goal (and (passed banana 1 experimenter_hand 19)))) \n
16,to pass banana 1 to experimenter_hand 20 \n,(:goal (and (passed banana 1 experimenter_hand 20)))) \n
17,to pass banana 1 to experimenter_hand 21 \n,(:goal (and (passed banana 1 experimenter_hand 21)))) \n
18,to pass banana 1 to experimenter_hand 22 \n,(:goal (and (passed banana 1 experimenter_hand 22)))) \n
19,to pass banana 1 to experimenter_hand 23 \n,(:goal (and (passed banana 1 experimenter_hand 23)))) \n
20,to pass banana 1 to experimenter_hand 24 \n,(:goal (and (passed banana 1 experimenter_hand 24)))) \n
21,to pass banana 1 to experimenter_hand 26 \n,(:goal (and (passed banana 1 experimenter_hand 26)))) \n
22,to pass banana 1 to experimenter_hand 27 \n,(:goal (and (passed banana 1 experimenter_hand 27)))) \n
