ID,Ours,PDDL
0,to open bleach_cleanser 31 \n,(:goal (and (opened bleach_cleanser 31)))) \n
1,to open bleach_cleanser 6 \n,(:goal (and (opened bleach_cleanser 6)))) \n
2,to open bleach_cleanser 9 \n,(:goal (and (opened bleach_cleanser 9)))) \n
3,to open bleach_cleanser 15 \n,(:goal (and (opened bleach_cleanser 15)))) \n
4,to open bleach_cleanser 27 \n,(:goal (and (opened bleach_cleanser 27)))) \n
5,to open bleach_cleanser 7 \n,(:goal (and (opened bleach_cleanser 7)))) \n
6,to open bleach_cleanser 10 \n,(:goal (and (opened bleach_cleanser 10)))) \n
7,to open bleach_cleanser 3 \n,(:goal (and (opened bleach_cleanser 3)))) \n
8,to open bleach_cleanser 12 \n,(:goal (and (opened bleach_cleanser 12)))) \n
9,to open bleach_cleanser 23 \n,(:goal (and (opened bleach_cleanser 23)))) \n
10,to open gelatin_box 20 \n,(:goal (and (opened gelatin_box 20)))) \n
11,to open gelatin_box 7 \n,(:goal (and (opened gelatin_box 7)))) \n
12,to open gelatin_box 25 \n,(:goal (and (opened gelatin_box 25)))) \n
13,to open gelatin_box 30 \n,(:goal (and (opened gelatin_box 30)))) \n
14,to open gelatin_box 27 \n,(:goal (and (opened gelatin_box 27)))) \n
15,to open gelatin_box 26 \n,(:goal (and (opened gelatin_box 26)))) \n
16,to open gelatin_box 14 \n,(:goal (and (opened gelatin_box 14)))) \n
17,to open gelatin_box 32 \n,(:goal (and (opened gelatin_box 32)))) \n
18,to open gelatin_box 11 \n,(:goal (and (opened gelatin_box 11)))) \n
19,to open gelatin_box 1 \n,(:goal (and (opened gelatin_box 1)))) \n
20,to open marker 10 \n,(:goal (and (opened marker 10)))) \n
21,to open marker 16 \n,(:goal (and (opened marker 16)))) \n
22,to open marker 15 \n,(:goal (and (opened marker 15)))) \n
23,to open marker 11 \n,(:goal (and (opened marker 11)))) \n
24,to open marker 24 \n,(:goal (and (opened marker 24)))) \n
25,to open marker 4 \n,(:goal (and (opened marker 4)))) \n
26,to open marker 29 \n,(:goal (and (opened marker 29)))) \n
27,to open marker 1 \n,(:goal (and (opened marker 1)))) \n
28,to open marker 31 \n,(:goal (and (opened marker 31)))) \n
29,to open marker 28 \n,(:goal (and (opened marker 28)))) \n
30,to open master_chef_can 9 \n,(:goal (and (opened master_chef_can 9)))) \n
31,to open master_chef_can 16 \n,(:goal (and (opened master_chef_can 16)))) \n
32,to open master_chef_can 8 \n,(:goal (and (opened master_chef_can 8)))) \n
33,to open master_chef_can 20 \n,(:goal (and (opened master_chef_can 20)))) \n
34,to open master_chef_can 23 \n,(:goal (and (opened master_chef_can 23)))) \n
