        18	experimenter_hand	        to	         4	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
         6	experimenter_hand	        to	        32	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        22	experimenter_hand	        to	        20	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        23	experimenter_hand	        to	         3	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        13	experimenter_hand	        to	        30	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        13	experimenter_hand	        to	         6	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
         6	experimenter_hand	        to	        10	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
         6	experimenter_hand	        to	        29	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        25	experimenter_hand	        to	        10	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         9	experimenter_hand	        to	        11	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         9	experimenter_hand	        to	        18	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        24	experimenter_hand	        to	        21	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        29	experimenter_hand	        to	        17	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        16	experimenter_hand	        to	        14	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        31	experimenter_hand	        to	        29	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         4	experimenter_hand	        to	        26	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
