        31	experimenter_hand	        to	         5	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        28	experimenter_hand	        to	        27	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
         9	experimenter_hand	        to	         3	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        31	experimenter_hand	        to	        18	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         8	experimenter_hand	        to	        16	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        27	experimenter_hand	        to	         3	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         9	experimenter_hand	        to	        14	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
         1	experimenter_hand	        to	        31	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        12	experimenter_hand	        to	        22	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        22	experimenter_hand	        to	        18	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
         8	experimenter_hand	        to	        26	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        27	experimenter_hand	        to	        18	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        28	experimenter_hand	        to	        24	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
         7	experimenter_hand	        to	        19	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        11	experimenter_hand	        to	        18	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         2	experimenter_hand	        to	         6	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
         6	experimenter_hand	        to	        13	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        11	experimenter_hand	        to	        24	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         1	experimenter_hand	        to	        20	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        23	experimenter_hand	        to	         9	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         7	experimenter_hand	        to	        12	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
         6	experimenter_hand	        to	         8	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        15	experimenter_hand	        to	         9	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        31	experimenter_hand	        to	        18	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        24	experimenter_hand	        to	        18	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        14	experimenter_hand	        to	        23	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        13	experimenter_hand	        to	        30	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        13	experimenter_hand	        to	         9	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
         4	experimenter_hand	        to	        17	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        29	experimenter_hand	        to	        16	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
